Signature matrix with CIBERSORTx based on the scRNA-seq study (ALLEN BRAIN MAP)																			
The "1" values in the expression matrix txt files are genes with insufficient evidence of expression (these genes are either not expressed or have inadequate statistical power to be imputed).																			
NAME	LAMP5	VIP	PAX6	Oligodendrocyte	Astrocyte	L5/6_IT_Car3	L5/6_NP	IT	SST	L6_CT	OPC	L6b	PVALB	Microglia	L5_ET	Pericyte	Endothelial	L4_IT	VLMC
ADH5	14.05379243	1	69.00768975	1	1	12.08003961	78.01000808	7.394616665	1	8.599454973	1	9.783626923	8.548225307	1	7.940883121	1	1	8.410930018	95.19252126
ADHFE1	1	1	1	1	234.0331512	1	1	1	1	1	33.23453762	1	1	1	1	1	1	1	81.218473
ADIRF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	212.3023517	69.93844412	1	1
ADORA3	1	1	1	1	1	1	1	1	1	1	1	1	1	130.3146658	1	1	1	1	1
ADRA1A	319.3429854	362.6101399	255.0048553	1	237.5663045	1	1	1	1	1	206.4578226	8.214474212	127.47154	1	458.4178296	1	1	1	1
ADRA1B	1	118.9128798	1	1	1	76.19002992	1	5.027409922	1	9.599783806	1	5.105019067	1	1	1.148981718	1	1	1	1
ADRB2	1	1	1	1	1	1	1	1	1	1	1	1	1	177.4035529	1	1	1	1	1
ADTRP	1	1	1	1	1	1	9.408242851	1	1	34.77723759	1	31.78340606	1	1	13.87645857	1	1	1	1
AFAP1	32.24698143	137.7870062	65.63906207	1	1	1	1	7.299768067	123.8936793	1	138.9510911	1	135.7620297	1	2.082134968	1	1	1	30.79222496
AFAP1L1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	347.0074621	1	1
AFAP1L2	1	1	1	1	1	1	1	1	1	1	167.3765366	1	1	1	1	88.97431933	167.1351773	1	1
AFF2	195.5210369	140.3014137	91.02696067	1	1	190.4462848	1	30.5461211	108.3585159	91.16228661	1	9.794889438	234.252404	1	9.00120332	1	1	1	1
AGBL1	1	1	1	1	75.66118027	1	1	71.21253525	1	1	1	1	134.0002918	1	32.67306078	1	1	1	1
AGPAT4.IT1	1	1	1	79.97254616	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AGT	1	1	1	1	177.6733283	1	1	1	1	1	1	1	1	1	1	209.9958607	1	1	1
AHR	12.41859192	1	1	1	1	12.84424275	8.433035213	9.889287654	85.50545404	12.91434864	1	1	1	1	1	1	1	1	1
AHRR	1	1	1	1	1	1	1	7.624482759	1	14.25694615	1	1	1	1	1	1	1	1	1
AIF1	1	1	1	1	1	1	1	1	1	1	1	1	1	330.6403035	1	1	1	1	1
AIF1L	1	1	1	62.30120651	1	1	1	1	1	1	1	1	1	1	1	1	109.9310024	1	1
AIFM3	1	1	1	1	210.9867609	1	1	1	1	1	1	1	1	1	1.77979768	1	1	7.725638538	1
AJAP1	96.86562037	9.22173678	14.45001992	1	1	31.03418065	1	42.50597731	8.298867163	13.82610215	1	47.50755159	21.74862022	1	13.13516435	1	1	22.07545907	1
AK7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	134.8273135	1	1	1
AKR1A1	1	1	1	1	1	3.462865292	4.190430905	2.925343099	1	1	1	6.112652374	1	217.8336937	1	1	1	1	162.6853476
AKR1C1	1	1	1	1	1	11.9708823	1	1	1	1	1	1	1	1	1	1	1	1	71.86105904
AKR1C2	1	1	1	1	1	9.335659572	1	1	1	1	1	1	1	1	1	32.07857162	1	1	423.9509827
ALAS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	115.2772768	1	1
ALDH1A1	1	1	1	1	1	14.4883903	1	1	1	1	1	1	1	1	1	1	1	1	254.7334138
ALDH1A2	1	1	1	1	1	1	1	1	1	1	1	7.942501035	1	1	1	1	1	1	718.3066826
ALDH1A3	1	1	1	1	1	1	1	4.833535347	1	1	46.35868886	1	1	1	4.043330781	1	1	1	1
ALDH1L1	1	1	1	1	188.0843777	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ALDH3A2	1	9.352919883	12.82122447	1	1	47.42779746	1	13.26583448	9.64344097	69.20431314	1	17.67561548	9.654481548	1	14.48021595	1	1	28.17740635	1
ALK	912.5333871	30.85653722	972.4204187	1	161.1665703	21.27034914	1	1	330.1187231	1	503.8588274	1	451.1985585	1	1	1	1	1	1
ALOX5	1	1	1	1	1	1	1	1	1	1	1	1	1	480.336382	1	1	1	1	1
ALOX5AP	1	1	1	1	1	1	1	1	1	1	1	1	1	212.8798481	1	1	1	1	1
ALPK1	1	1	1	1	1	1	1	1	1	5.066939708	1	7.65304473	1	309.0334103	1	1	73.70718182	1	92.90254573
ALPL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	327.4145167	1	1
ALS2CR12	9.116969666	1	1	1	72.48942376	30.41680319	8.542765295	28.70223912	1	67.80807958	1	56.59912338	13.25784801	1	22.25735137	1	1	12.39524644	1
AMER2	7.787199551	8.116164411	7.46273296	491.1741429	166.1250158	1	1	8.286715312	8.963358957	3.461774411	1	7.245358065	1	1	2.060929784	1	1	5.052151286	1
AMOT	1	1	1	1	107.3685456	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AMOTL1	31.01925125	18.47999493	84.74640083	1	1	1	1	1	84.97214498	1	1	106.8324611	77.88057492	1	3.478707023	31.6272802	146.2009056	8.617370466	471.0765887
AMOTL2	1	1	1	70.11931057	1	1	1	1	1	1	1	1	1	1	1	136.4578661	75.18767581	1	1
AMPD3	1	1	1	84.57689595	1	1	1	1	1	1	1	1	1	167.1351773	1	1	1	1	1
ANAPC13	41.71720415	13.37394787	18.32516248	1	1	1	9.876496834	8.637270695	1	1	1	9.10601042	8.381951618	1	2.895901145	1	1	8.76500052	1
ANGPT1	1	35.35908109	101.0108753	1	76.52575244	1	1	1	1	1	1	1	1	1	108.4686615	159.9124121	1	1	1
ANGPTL5	1	1	1	1	1	1	1	1	1	1	1	32.93229625	1	1	1	1	1	1	1
ANK1	67.54612806	113.7204589	5.133739279	1	1	1	1	1	173.5089529	1	1	1	263.5731676	1	1	122.6856956	1	1	1
